date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-01-03,8.95,9.03,9.02,8.94,94372.22,0.1,1.12,9.018,9.116,9.116,115422.28,173050.93,173050.93
2017-01-04,9.02,9.07,9.06,9.0,118358.5,0.04,0.44,9.004,9.11,9.11,116909.1,167581.69,167581.69
2017-01-05,9.06,9.15,9.11,9.02,158940.3,0.05,0.55,9.02,9.078,9.11,120814.82,155438.54,166796.1
2017-01-06,9.11,9.11,9.03,9.03,118627.24,-0.08,-0.88,9.028,9.061,9.103,123698.5,136881.65,162782.03
2017-01-09,9.0,9.08,9.06,8.98,112563.41,0.03,0.33,9.056,9.055,9.1,120572.33,128111.03,158919.06
2017-01-10,9.05,9.14,8.99,8.98,150913.59,-0.07,-0.77,9.05,9.034,9.092,131880.61,123651.44,158347.24
2017-01-11,8.97,9.02,8.91,8.9,112078.44,-0.08,-0.89,9.02,9.012,9.08,130624.6,123766.85,155262.66
2017-01-12,8.9,8.94,8.69,8.68,187136.02,-0.22,-2.47,8.936,8.978,9.056,136263.74,128539.28,157254.74
2017-01-13,8.71,8.78,8.51,8.45,155461.23,-0.18,-2.07,8.832,8.93,9.024,143630.54,133664.52,157149.24
2017-01-16,8.55,8.59,8.12,7.68,161860.77,-0.39,-4.58,8.644,8.85,8.973,153490.01,137031.17,157410.99
2017-01-17,8.1,8.23,8.18,7.93,116162.26,0.06,0.74,8.482,8.766,8.932,146539.74,139210.18,155240.01
2017-01-18,8.15,8.18,8.11,8.1,61396.81,-0.07,-0.86,8.322,8.671,8.891,136403.42,133514.01,150547.85
2017-01-19,8.1,8.13,8.05,8.03,57383.44,-0.06,-0.74,8.194,8.565,8.822,110452.9,123358.32,139398.43
2017-01-20,8.01,8.29,8.19,8.01,102898.48,0.14,1.74,8.13,8.481,8.771,99940.35,121785.45,129333.55
2017-01-23,8.19,8.25,8.2,8.16,71325.41,0.01,0.12,8.146,8.395,8.725,81833.28,117661.65,122886.34
2017-01-24,8.21,8.24,8.16,8.13,56165.02,-0.04,-0.49,8.142,8.312,8.673,69833.83,108186.79,115919.12
2017-01-25,8.14,8.2,8.16,8.13,54883.96,0.0,0.0,8.152,8.237,8.625,68531.26,102467.34,113117.09
2017-01-26,8.18,8.21,8.19,8.17,46773.91,0.03,0.37,8.18,8.187,8.583,66409.36,88431.13,108485.2
2017-02-02,8.19,9.0,8.3,8.07,134.0,0.11,1.34,8.202,8.166,8.548,45856.46,72898.41,103281.46
2017-02-03,8.19,8.23,8.18,8.17,40462.16,-0.01,-0.12,8.198,8.172,8.511,39683.81,60758.55,98894.86
2017-02-06,8.19,8.3,8.24,8.19,59488.25,0.06,0.73,8.214,8.178,8.472,40348.46,55091.14,97150.66
2017-02-07,8.28,8.31,8.27,8.21,68941.96,0.03,0.36,8.236,8.194,8.433,43160.06,55845.66,94679.83
2017-02-08,8.26,8.27,8.27,8.16,58573.75,0.0,0.0,8.252,8.216,8.391,45520.02,55964.69,89661.51
2017-02-09,8.27,8.4,8.34,8.25,101985.36,0.07,0.85,8.26,8.231,8.356,65890.3,55873.38,88829.41
2017-02-10,8.34,8.38,8.29,8.27,107243.55,-0.05,-0.6,8.282,8.24,8.318,79246.57,59465.19,88563.42
2017-02-13,8.25,8.36,8.35,8.23,95959.12,0.06,0.72,8.304,8.259,8.286,86540.75,63444.6,85815.7
2017-02-14,8.36,8.42,8.38,8.29,105581.88,0.03,0.36,8.326,8.281,8.259,93868.73,68514.39,85490.87
2017-02-15,8.34,8.42,8.4,8.33,151479.95,0.02,0.24,8.352,8.302,8.245,112449.97,78985.0,83708.06
2017-02-16,8.65,8.81,8.59,8.56,357053.56,0.19,2.26,8.402,8.331,8.249,163463.61,114676.95,93787.68
2017-02-17,8.51,8.56,8.37,8.35,170070.62,-0.22,-2.56,8.418,8.35,8.261,176029.03,127637.8,94198.17
